sex,age,age_cat,race,juv_fel_count,g_decile_score,juv_misd_count,juv_other_count,c_jail_days,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score,score_text,v_decile_score,v_score_text,priors_count,start,end,event,two_year_recid
Male,20,Less than 25,Other,0,5,0,0,1,1,F,1,1,5,Medium,8,High,0,0,119,1,1
Male,22,Less than 25,African-American,1,9,0,0,30,0,F,1,0,9,High,10,High,2,30,175,1,1
Male,23,Less than 25,African-American,0,7,0,1,1,192,M,1,0,7,Medium,8,High,2,0,137,0,1
Female,35,25 - 45,African-American,0,2,0,0,1,1,M,0,0,2,Low,1,Low,1,0,1098,0,0
Male,36,25 - 45,African-American,0,7,0,0,4,1,F,1,0,7,Medium,6,Medium,9,4,27,1,1
Male,26,25 - 45,Caucasian,0,8,0,0,0,1,F,1,0,8,High,4,Low,7,0,377,1,1
Male,21,Less than 25,Other,0,6,0,0,4,1,F,1,0,6,Medium,6,Medium,1,4,253,1,1
Male,25,25 - 45,Caucasian,0,8,0,0,1,1,F,1,1,8,High,9,High,9,0,145,1,1
Male,71,Greater than 45,African-American,0,7,0,0,0,804,M,0,0,7,Medium,3,Low,12,0,1183,0,0
Female,20,Less than 25,Caucasian,0,7,0,0,1,1,F,0,0,7,Medium,8,High,0,0,869,0,0
Male,39,25 - 45,Caucasian,0,1,0,0,0,3,F,1,0,1,Low,1,Low,2,0,63,1,1
Male,66,Greater than 45,Caucasian,0,1,0,0,30,64,F,0,0,1,Low,1,Low,3,0,877,0,0
Female,54,Greater than 45,Caucasian,0,1,0,0,0,1,M,0,0,1,Low,1,Low,0,0,1082,0,0
Female,44,25 - 45,Hispanic,0,1,0,0,1,2,M,0,0,1,Low,1,Low,0,0,955,0,0
Male,19,Less than 25,African-American,0,4,0,0,9,10,M,1,1,4,Low,7,Medium,1,0,104,1,1
Male,24,Less than 25,African-American,0,2,0,0,137,137,F,0,0,2,Low,3,Low,1,0,503,0,0
Male,30,25 - 45,African-American,0,2,0,0,1,1,F,0,0,2,Low,2,Low,1,0,935,0,0
Female,39,25 - 45,Caucasian,0,1,0,0,2,1,F,1,1,1,Low,1,Low,0,1,52,1,1
Male,24,Less than 25,Caucasian,0,6,1,2,12,0,F,1,0,6,Medium,6,Medium,8,11,27,1,1
Male,30,25 - 45,Caucasian,0,4,0,0,6,1,F,0,0,4,Low,2,Low,0,5,497,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,39,1,M,0,0,5,Medium,2,Low,0,38,770,0,0
Female,39,25 - 45,Caucasian,0,4,0,0,107,1,F,0,0,4,Low,3,Low,1,106,392,0,0
Male,59,Greater than 45,African-American,0,9,0,0,110,265,F,1,1,9,High,4,Low,14,0,178,1,1
Male,43,25 - 45,Caucasian,0,1,0,0,1,30,F,0,0,1,Low,1,Low,1,0,960,0,0
Male,21,Less than 25,African-American,0,9,0,0,6,1,F,1,0,9,High,6,Medium,3,5,24,1,1
Male,38,25 - 45,Caucasian,0,4,0,0,3,1,M,1,0,4,Low,3,Low,5,2,55,1,1
Male,34,25 - 45,Caucasian,0,5,0,0,15,0,F,0,0,5,Medium,5,Medium,0,15,441,0,0
Male,33,25 - 45,African-American,0,5,0,0,0,1,F,1,0,5,Medium,2,Low,5,0,345,1,1
Male,37,25 - 45,African-American,0,2,0,0,1,0,F,0,0,2,Low,1,Low,3,1,102,0,0
Male,42,25 - 45,Caucasian,0,2,0,0,1,1,F,1,0,2,Low,2,Low,1,1,2,1,1
Male,41,25 - 45,African-American,0,9,1,0,176,0,F,1,0,9,High,7,Medium,10,176,285,1,1
Male,22,Less than 25,African-American,0,4,0,0,1,1,F,1,0,4,Low,7,Medium,0,0,394,1,1
Male,33,25 - 45,African-American,0,8,12,2,2,1,F,1,0,8,High,5,Medium,28,1,83,1,1
Male,31,25 - 45,African-American,0,7,0,0,1,1,M,0,0,7,Medium,8,High,1,0,900,0,0
Female,30,25 - 45,Other,0,2,0,0,1,1,F,0,0,2,Low,2,Low,1,0,97,0,0
Male,31,25 - 45,Caucasian,0,10,0,0,471,0,F,1,1,10,High,7,Medium,13,0,55,1,1
Male,27,25 - 45,African-American,0,9,0,0,1,1,F,1,0,9,High,4,Low,3,0,249,1,1
Male,56,Greater than 45,African-American,0,9,0,0,80,79,F,0,0,9,High,3,Low,8,0,67,0,0
Male,52,Greater than 45,Caucasian,0,9,0,0,1,2,M,0,0,9,High,6,Medium,3,0,977,0,0
Male,33,25 - 45,African-American,0,10,0,0,1,1,F,1,0,10,High,7,Medium,19,0,222,0,1
Female,64,Greater than 45,Caucasian,0,1,0,0,0,48,M,0,0,1,Low,1,Low,2,0,732,0,0
Male,22,Less than 25,Caucasian,0,6,0,0,14,36,F,1,0,6,Medium,8,High,4,0,139,0,1
Male,42,25 - 45,Caucasian,0,3,0,0,0,5,F,0,0,3,Low,1,Low,6,0,408,0,0
Female,25,25 - 45,Caucasian,0,4,0,0,3,1,F,0,0,4,Low,5,Medium,2,2,359,0,0
Male,30,25 - 45,Caucasian,0,2,0,0,4,20,M,0,0,2,Low,2,Low,1,0,864,0,0
Male,28,25 - 45,Caucasian,0,1,0,0,0,161,F,0,0,1,Low,2,Low,2,0,946,0,0
Female,37,25 - 45,Other,0,2,0,0,2,222,M,0,0,2,Low,1,Low,2,1,823,0,0
Male,28,25 - 45,Caucasian,0,2,0,0,1,1,M,1,0,2,Low,3,Low,0,0,60,0,1
Female,24,Less than 25,African-American,0,2,0,0,2,1,M,0,0,2,Low,3,Low,0,1,784,0,0
Female,29,25 - 45,Caucasian,0,4,1,0,7,1,F,1,0,4,Low,2,Low,10,6,40,0,1
Male,44,25 - 45,Caucasian,0,2,0,0,0,1,M,1,0,2,Low,1,Low,2,0,216,1,1
Female,30,25 - 45,Hispanic,0,5,0,0,0,36,F,1,1,5,Medium,5,Medium,4,0,37,1,1
Male,32,25 - 45,African-American,0,7,0,0,8,1,F,1,0,7,Medium,3,Low,3,7,413,0,1
Male,31,25 - 45,Caucasian,0,3,0,0,15,16,M,1,0,3,Low,3,Low,2,0,48,1,1
Male,31,25 - 45,African-American,0,2,0,0,1,1,M,1,0,2,Low,3,Low,1,0,1140,1,0
Male,59,Greater than 45,Caucasian,0,2,0,0,1,1,F,1,0,2,Low,1,Low,1,0,164,1,1
Female,45,Greater than 45,Caucasian,0,4,0,0,0,375,F,0,0,4,Low,3,Low,4,0,1073,0,0
Female,20,Less than 25,African-American,1,10,0,0,3,0,F,0,0,10,High,10,High,1,3,119,0,0
Female,43,25 - 45,Caucasian,0,1,0,0,1,0,M,0,0,1,Low,1,Low,0,1,1053,0,0
Male,38,25 - 45,African-American,1,8,1,0,13,1,F,1,0,8,High,4,Low,9,12,129,1,1
Male,32,25 - 45,African-American,0,6,0,0,1,2,F,1,1,6,Medium,5,Medium,11,0,24,1,1
Male,33,25 - 45,African-American,0,5,0,0,1,1,M,1,1,5,Medium,2,Low,8,0,187,1,1
Female,31,25 - 45,African-American,0,3,0,0,2,1,F,1,0,3,Low,2,Low,0,1,76,0,1
Female,33,25 - 45,African-American,0,9,0,0,26,1,F,1,0,9,High,9,High,7,25,275,1,1
Male,27,25 - 45,African-American,0,9,0,0,1,1,F,1,0,9,High,8,High,2,0,18,0,1
Female,20,Less than 25,African-American,0,6,0,0,0,1,F,0,0,6,Medium,8,High,0,0,846,0,0
Female,26,25 - 45,Caucasian,0,6,0,0,1,2,M,0,0,6,Medium,3,Low,0,0,795,0,0
Female,61,Greater than 45,African-American,0,1,0,0,1,1,F,1,0,1,Low,1,Low,1,0,544,1,1
Male,52,Greater than 45,Other,0,7,0,0,2,1,F,1,0,7,Medium,6,Medium,13,1,36,0,1
Male,63,Greater than 45,Hispanic,0,1,0,0,15,26,F,0,0,1,Low,1,Low,1,0,786,0,0
Female,32,25 - 45,African-American,0,10,0,0,7,7,F,1,1,10,High,9,High,4,0,395,1,1
Male,29,25 - 45,Hispanic,0,4,0,0,1,1,F,0,0,4,Low,4,Low,1,0,938,0,0
Female,46,Greater than 45,Other,0,2,0,0,0,72,F,0,0,2,Low,1,Low,1,0,1177,0,0
Female,26,25 - 45,African-American,0,4,0,0,1,1,M,1,0,4,Low,4,Low,2,0,229,1,1
Male,55,Greater than 45,African-American,0,1,0,0,1,52,M,0,0,1,Low,1,Low,3,0,1009,0,0
Male,39,25 - 45,Caucasian,1,4,0,0,4,1672,M,0,0,4,Low,4,Low,1,3,780,0,0
Female,30,25 - 45,Caucasian,0,7,0,0,530,1,F,1,0,7,Medium,4,Low,3,0,14,1,1
Male,30,25 - 45,African-American,0,7,0,0,70,1,F,0,0,7,Medium,8,High,1,70,367,0,0
Male,48,Greater than 45,Caucasian,0,2,0,0,1,1,M,0,0,2,Low,1,Low,2,0,918,0,0
Male,22,Less than 25,African-American,0,2,0,0,1,1,F,0,0,2,Low,4,Low,1,0,547,0,0
Male,46,Greater than 45,Caucasian,0,1,0,0,23,31,F,1,0,1,Low,1,Low,6,0,22,1,1
Female,49,Greater than 45,Caucasian,0,6,0,0,5,56,F,0,0,6,Medium,2,Low,6,0,744,0,0
Male,31,25 - 45,Caucasian,0,5,0,0,2,1,F,0,0,5,Medium,4,Low,0,2,719,0,0
Male,25,25 - 45,African-American,0,2,0,0,2,1,M,1,0,2,Low,3,Low,1,1,31,1,1
Male,23,Less than 25,Hispanic,0,3,0,0,0,2,F,0,0,3,Low,5,Medium,0,0,935,0,0
Female,32,25 - 45,African-American,0,7,0,0,1,1,F,0,0,7,Medium,3,Low,5,0,1138,0,0
Male,52,Greater than 45,Hispanic,0,1,0,0,3,1,M,0,0,1,Low,1,Low,2,2,108,0,0
Male,62,Greater than 45,African-American,0,4,0,0,16,1,F,0,0,4,Low,1,Low,8,16,1151,0,0
Female,37,25 - 45,Caucasian,0,10,0,0,106,111,F,0,0,10,High,4,Low,6,0,417,0,0
Male,55,Greater than 45,Caucasian,0,1,0,0,18,45,F,0,0,1,Low,1,Low,1,0,934,0,0
Male,31,25 - 45,Hispanic,0,9,0,0,117,61,F,1,0,9,High,7,Medium,8,0,29,0,1
Male,28,25 - 45,African-American,0,6,0,0,1,1,M,1,1,6,Medium,6,Medium,6,0,482,1,1
Male,54,Greater than 45,Hispanic,0,1,0,0,188,1,F,0,0,1,Low,1,Low,2,187,946,0,0
Male,58,Greater than 45,Hispanic,0,2,0,0,1,1,F,0,0,2,Low,1,Low,0,0,302,0,0
Male,78,Greater than 45,Caucasian,0,1,0,0,1,1,M,1,0,1,Low,1,Low,1,0,310,1,1
Male,56,Greater than 45,Caucasian,0,1,0,0,1,1,F,0,0,1,Low,1,Low,0,0,760,0,0
Male,24,Less than 25,Other,0,2,0,0,2,1,F,0,0,2,Low,4,Low,0,1,808,0,0
Male,38,25 - 45,African-American,2,8,2,1,34,35,F,1,0,8,High,5,Medium,22,0,238,1,1
Male,22,Less than 25,African-American,0,5,0,0,0,1,F,1,0,5,Medium,5,Medium,1,0,200,1,1
Male,47,Greater than 45,African-American,0,8,0,0,1,1,M,1,0,8,High,1,Low,23,0,9,1,1
Male,23,Less than 25,African-American,0,2,0,0,1,1,M,1,0,2,Low,4,Low,0,0,176,1,1
Male,57,Greater than 45,Hispanic,0,1,0,0,20,0,F,0,0,1,Low,1,Low,1,20,889,0,0
Female,38,25 - 45,Caucasian,0,5,0,0,1,35,F,1,0,5,Medium,2,Low,2,0,155,1,1
Male,66,Greater than 45,African-American,0,1,0,0,2,10,F,1,1,1,Low,1,Low,3,0,943,1,0
Male,45,Greater than 45,Caucasian,0,4,0,0,71,0,M,1,0,4,Low,3,Low,8,71,584,0,1
Female,52,Greater than 45,Other,0,3,0,0,0,,M,1,0,3,Low,1,Low,0,0,449,1,1
Male,32,25 - 45,African-American,0,10,0,0,97,1,F,1,0,10,High,7,Medium,13,0,289,1,1
Male,37,25 - 45,African-American,0,9,0,0,0,0,M,1,1,9,High,8,High,2,0,104,1,1
Male,39,25 - 45,Caucasian,0,4,0,0,1,0,F,1,0,4,Low,4,Low,0,1,389,1,1
Male,26,25 - 45,African-American,0,9,0,0,79,1,F,1,0,9,High,8,High,9,79,173,1,1
Male,45,Greater than 45,Caucasian,0,3,0,0,359,1,F,0,0,3,Low,4,Low,2,358,1155,0,0
Male,23,Less than 25,African-American,0,3,0,0,1,1,F,1,1,3,Low,4,Low,0,0,320,1,1
Male,34,25 - 45,African-American,0,2,0,0,26,1,M,1,0,2,Low,1,Low,2,26,758,1,0
Female,23,Less than 25,African-American,0,4,0,0,1,1,M,0,0,4,Low,4,Low,1,0,954,0,0
Male,36,25 - 45,Other,0,3,0,0,3,1,M,1,0,3,Low,1,Low,2,2,598,1,1
Male,50,Greater than 45,Caucasian,0,1,0,0,2,4,F,0,0,1,Low,1,Low,1,0,879,0,0
Female,37,25 - 45,Caucasian,0,3,0,0,0,1,M,0,0,3,Low,1,Low,0,0,875,0,0
Male,44,25 - 45,Caucasian,0,4,0,0,1,0,M,0,0,4,Low,4,Low,4,1,1181,0,0
Female,35,25 - 45,African-American,0,9,1,0,2,1,F,1,0,9,High,9,High,23,1,318,1,1
Male,24,Less than 25,Other,0,5,0,0,1,1,F,1,0,5,Medium,4,Low,5,0,54,1,1
Male,26,25 - 45,African-American,0,10,0,0,1,1,F,1,0,10,High,8,High,2,0,379,1,1
Male,27,25 - 45,African-American,0,2,0,0,3,1,M,0,0,2,Low,3,Low,0,2,1102,0,0
Female,28,25 - 45,African-American,0,8,0,0,29,1,F,0,0,8,High,6,Medium,0,29,885,0,0
Male,43,25 - 45,Caucasian,0,5,0,0,121,56,F,1,1,5,Medium,3,Low,11,0,48,1,1
Female,28,25 - 45,Caucasian,0,9,0,0,1,1,F,1,0,9,High,6,Medium,7,0,216,1,1
Male,38,25 - 45,African-American,0,1,0,0,1,1,F,0,0,1,Low,1,Low,2,0,61,0,0
Male,27,25 - 45,Caucasian,0,4,0,0,36,36,M,0,0,4,Low,3,Low,2,0,765,0,0
Female,28,25 - 45,African-American,0,9,0,0,39,1,F,0,0,9,High,7,Medium,1,38,889,0,0
Male,56,Greater than 45,Caucasian,0,1,0,0,1,1,F,1,0,1,Low,1,Low,7,0,245,1,1
Male,38,25 - 45,African-American,0,9,0,0,2,1,F,0,0,9,High,3,Low,15,1,1137,0,0
Male,28,25 - 45,African-American,0,5,0,0,1,2147,M,0,0,5,Medium,4,Low,2,0,883,0,0
Male,45,Greater than 45,African-American,0,6,0,0,219,23,F,0,0,6,Medium,4,Low,3,0,104,0,0
Male,28,25 - 45,Hispanic,0,2,0,0,0,5,M,0,0,2,Low,3,Low,0,0,1183,0,0
Male,61,Greater than 45,Caucasian,0,1,0,0,1,34,F,0,0,1,Low,1,Low,1,0,1108,0,0
Female,51,Greater than 45,Caucasian,0,1,0,0,1,1,M,1,1,1,Low,1,Low,0,0,169,1,1
Male,51,Greater than 45,Caucasian,0,2,0,0,1,1,M,0,0,2,Low,2,Low,0,0,883,0,0
Male,36,25 - 45,Other,0,1,0,0,1,1,M,1,0,1,Low,1,Low,1,0,229,0,1
Male,48,Greater than 45,African-American,0,1,0,0,1,1,F,0,0,1,Low,1,Low,0,0,1174,0,0
Male,37,25 - 45,Caucasian,0,3,0,0,2,0,F,1,0,3,Low,4,Low,4,2,516,1,1
Female,30,25 - 45,African-American,0,7,0,0,3,1,F,0,0,7,Medium,4,Low,2,2,1054,0,0
Female,41,25 - 45,African-American,0,6,0,0,0,1,M,0,0,6,Medium,3,Low,5,0,878,0,0
Male,27,25 - 45,African-American,0,10,0,0,223,1,F,1,0,10,High,9,High,11,222,433,1,1
Male,37,25 - 45,African-American,0,1,0,0,2,1,M,1,1,1,Low,1,Low,0,1,870,1,0
Male,33,25 - 45,Other,0,4,0,0,2,1,F,1,0,4,Low,2,Low,4,2,314,1,1
Male,54,Greater than 45,African-American,0,9,0,0,130,1,F,0,0,9,High,9,High,11,129,1060,0,0
Male,23,Less than 25,African-American,0,9,0,0,72,1,F,0,0,9,High,5,Medium,2,71,1058,0,0
Female,26,25 - 45,African-American,0,4,0,0,227,227,F,1,0,4,Low,6,Medium,2,0,283,1,1
Male,41,25 - 45,African-American,0,1,0,0,1,0,M,0,0,1,Low,1,Low,0,1,797,0,0
Male,52,Greater than 45,Caucasian,0,1,0,0,1,1,F,0,0,1,Low,1,Low,0,0,1051,0,0
Male,43,25 - 45,Caucasian,0,4,0,0,51,1,F,1,0,4,Low,1,Low,13,51,161,1,1
Male,52,Greater than 45,African-American,0,4,0,0,14,1,F,0,0,4,Low,3,Low,0,13,787,0,0
Male,28,25 - 45,Caucasian,0,1,0,0,3,3,F,0,0,1,Low,2,Low,1,0,1050,0,0
Male,30,25 - 45,African-American,0,9,0,2,1,1,M,1,1,9,High,4,Low,11,0,119,1,1
Male,28,25 - 45,Caucasian,0,5,0,0,6,0,F,0,0,5,Medium,3,Low,1,6,917,0,0
Male,22,Less than 25,African-American,0,4,0,0,1,1,F,0,0,4,Low,6,Medium,0,0,1134,0,0
Male,30,25 - 45,African-American,0,2,0,0,0,0,F,0,0,2,Low,2,Low,4,0,1123,0,0
Male,25,25 - 45,Hispanic,0,4,0,0,1,0,F,0,0,4,Low,4,Low,4,1,880,0,0
Male,31,25 - 45,Caucasian,0,8,0,0,31,1,F,1,0,8,High,5,Medium,0,30,401,1,1
Male,37,25 - 45,Caucasian,0,2,0,0,35,1,F,1,0,2,Low,1,Low,0,34,172,0,1
Male,32,25 - 45,African-American,0,9,1,0,1,1,F,0,0,9,High,8,High,14,0,836,0,0
Male,26,25 - 45,African-American,0,8,1,0,76,1562,M,0,0,8,High,6,Medium,4,0,649,0,0
Male,53,Greater than 45,Caucasian,0,1,0,0,1,1,M,0,0,1,Low,1,Low,1,0,1171,0,0
Male,28,25 - 45,African-American,0,8,0,0,26,70,F,1,0,8,High,9,High,25,0,29,0,1
Male,44,25 - 45,Caucasian,0,5,0,0,5,1,M,1,0,5,Medium,3,Low,8,4,136,1,1
Male,25,25 - 45,African-American,0,3,0,0,0,1,F,0,0,3,Low,4,Low,0,0,938,0,0
Male,22,Less than 25,Caucasian,0,8,0,1,6,0,M,1,0,8,High,7,Medium,1,6,531,1,1
Female,37,25 - 45,Other,0,1,0,0,1,2,M,0,0,1,Low,1,Low,0,0,844,0,0
Female,40,25 - 45,Other,0,2,0,0,1,1,F,0,0,2,Low,1,Low,3,0,891,0,0
